Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
Before and After,Fear Of Flying Squirrels,4,21,4
Before and After,Federal Express Bus,3,17,7
Before and After,Federalist Party Animal,3,21,10
Before and After,Feeling Hot Hot Hot Fudge,5,21,7
Before and After,Felix The Cat Ellington,4,20,5
Before and After,Fence Post Office,3,15,5
Before and After,Fenway Park Your Car,4,17,6
Before and After,Ferris Wheel Of Fortune,4,20,6
Before and After,Fighting Chance Of A Lifetime,5,25,8
Before and After,Fill In The Blank Check,5,19,4
Before and After,Filthy Rich Little,3,16,6
Before and After,Final Destination Unknown,3,23,5
Before and After,Finger Painting The Town Red,5,24,6
Before and After,Finger-Painting The Town Red,4,24,14
Before and After,Finish Line-By -Line Debate,4,22,6
Before and After,Fire-Engine Red Zone,3,17,10
Before and After,First Aid Kit And Caboodle,5,22,5
Before and After,First Class Cabin Fever,4,20,5
Before and After,First Family Feud,3,15,5
Before and After,First Lady Gaga,3,13,5
Before and After,First Lady Sings The Blues,5,22,5
Before and After,First-Aid Kit And Caboodle,4,22,8
Before and After,Fish Tank Top,3,11,4
Before and After,Fish Tank Truck,3,13,4
Before and After,Fishing Net Worth,3,15,7
Before and After,Fishing Pole Vault,3,16,7
Before and After,Fit As A Fiddle-De-De,4,16,3
Before and After,Fit As Fiddle-De-De,3,15,3
Before and After,Fitness Tip Of The Iceberg,5,22,7
Before and After,Fizzled Out Of Order,4,17,7
Before and After,Flash Drive Safe,3,14,5
Before and After,Flash Drive Safely,3,16,5
Before and After,Flash Mob Boss,3,12,5
Before and After,Flat Tire Iron,3,12,4
Before and After,Flea Market Value,3,15,4
Before and After,Flipping A Coin Collector,4,22,8
Before and After,Florida Keys To The House,5,21,7
Before and After,Flower Bed Of Nails,4,16,6
Before and After,Flower Bud Bundy,3,14,6
Before and After,Fluffy Pillow Talk,3,16,6
Before and After,Flying High-And-Mighty,2,19,6
Before and After,Foam Roller Derby,3,15,4
Before and After,Focus Group Of Friends,4,19,5
Before and After,Foggy Mountain Breakdown,3,22,5
Before and After,Food Chain Reaction,3,17,4
Before and After,Food Court Of Law,4,14,4
Before and After,Food For The Thought Police,5,23,4
Before and After,Food For Thought Police,4,20,4
Before and After,Fool's Gold Creek,3,14,5
Before and After,Footloose And Fancy Free Parking,5,28,9
Before and After,Footsie Roll Over And Play Dead,6,26,7
Before and After,Founding Father Time,3,18,8
Before and After,Fraggle Rock The Boat,4,18,7
Before and After,Francis Scott Key To The City,6,24,7
Before and After,Fraternity House Of Cards,4,22,10
Before and After,Free Classical Music Concerts,4,26,4
Before and After,Free Spin Cycle,3,13,4
Before and After,Free Spin The Bottle,4,17,4
Before and After,Freedom Of Speech Bubble,4,21,7
Before and After,Freedom Of Speech Therapist,4,24,7
Before and After,French Quarter After,3,18,6
Before and After,Fresh Dirt Bike,3,13,5
Before and After,Fresh Start Your Engines,4,21,5
Before and After,Fresh Wood Chips & Salsa,4,19,5
Before and After,Fried Chicken Coop,3,16,5
Before and After,Friend Of The Family Tree,5,21,6
Before and After,Friendship Ring My Bell,4,20,10
Before and After,From Russia With Love American Style,6,31,4
Before and After,Front Door Prize,3,14,5
Before and After,Frontier Strip Mall,3,17,8
Before and After,Frozen Dinner Theater,3,19,6
Before and After,Full Moon Knight,3,14,4
Before and After,Full Moon Night,3,13,4
Before and After,Full Moon Valley,3,14,4
Before and After,Full Of Wisdom Tooth,4,17,4
Before and After,Full Steam Ahead Of Schedule,5,24,4
Before and After,Fuller House Of Cards,4,18,6
Before and After,Funeral Home Sweet Home,4,20,7
Before and After,Funny Bone-Dry,2,12,5
Before and After,Fur Coat Of Paint,4,14,3
Before and After,Gag Order In The Court,5,18,3
Before and After,Game-Show Hostess Twinkies,3,23,8
Before and After,Gamma Ray Romano,3,14,5
Before and After,Garbage Can Of Beans,4,17,7
Before and After,Garden Rake Comb,3,14,6
Before and After,Garlic Breath Of Fresh Air,5,22,6
Before and After,Garth Brooks Brothers Suit,4,23,5
Before and After,Gayle King Of The Road,5,18,5
Before and After,Geek Squad Car,3,12,4
Before and After,General Public Domain,3,19,7
Before and After,Generation Gap Jeans,3,18,10
Before and After,George Washington Apples,3,22,6
Before and After,Get Off My Case Story,5,17,3
Before and After,Get Off My Case Study,5,17,3
Before and After,Get Off Your Duff Goldman,5,21,3
Before and After,Get To The Point Of No Return,7,23,3
Before and After,Getting Away With Murder She Wrote,6,29,7
Before and After,Getting The Best For Your Money Belt,7,30,7
Before and After,Getting The Most For Your Money Belt,7,30,7
Before and After,Ginger & Wasabi,2,12,6
Before and After,Give Me A Hint Of Mint,6,17,4
Before and After,Give Me A Hug Point,5,15,4
Before and After,Gladys Knight In Shining Armor,5,26,6
Before and After,Glamour Puss In Boots,4,18,7
Before and After,Glamour-Puss In Boots,3,18,11
Before and After,Glass Case Study,3,14,5
Before and After,Glenn Close Proximity,3,19,5
Before and After,Global Impact Statement,3,21,6
Before and After,Global Village Idiot,3,18,6
Before and After,Go Ahead Make My Day Care Center,7,26,2
Before and After,Going Green Bananas,3,17,5
Before and After,Going Steady Rain,3,15,5
Before and After,Gold Tooth Fairy,3,14,4
Before and After,Golden Age Before Beauty,4,21,6
Before and After,Golden Gate Bridge Game,4,20,6
Before and After,Golden Triangle Of Art Supplies,5,27,6
Before and After,Goldfish Bowl Of Soup,4,18,8
Before and After,Golf Bag Of Chips,4,14,4
Before and After,Golf Bag Of Potato Chips,5,20,4
Before and After,Golf Course Of Action,4,18,4
Before and After,Golf Swing Band,3,13,4
Before and After,Good Luck Of The Draw,5,17,4
Before and After,Good Will & Deer Hunting,4,19,4
Before and After,Good Will Hunting Season,4,21,4
Before and After,Google Drive Safely,3,17,6
Before and After,Google Search Party,3,17,6
Before and After,Graduate Student Council,3,22,8
Before and After,Graduation Day Of Reckoning,4,24,10
Before and After,Grand Opening Act,3,15,5
Before and After,Grand Place Of Birth,4,17,5
Before and After,Granny Rock The Boat,4,17,6
Before and After,Granola Bar Of Soap,4,16,7
Before and After,Graveyard Shift Into High Gear,5,26,9
Before and After,Gravy Boat Captain,3,16,5
Before and After,Gravy Train Of Thought,4,19,5
Before and After,Gray Wolf Blitzer,3,15,4
Before and After,Great Wall Of China Dolls,5,21,5
Before and After,Green Thumb A Ride,4,15,5
Before and After,Grizzly Bear Market,3,17,7
Before and After,Grover Cleveland Browns,3,21,6
Before and After,Grover Cleveland Ohio,3,19,6
Before and After,Grow Up Up And Away,5,15,4
Before and After,Guilt Trip Of A Lifetime,5,20,5
Before and After,Guinea Pig Latin,3,14,6
Before and After,Guitar Pick A Fight,4,16,6
Before and After,Hair Spray Paint,3,14,4
Before and After,Hall Of Fame & Fortune,4,17,4
Before and After,Halle Berry Gordy,3,15,5
Before and After,Halle Berry Pie,3,13,5
Before and After,Halle Berry Turnover,3,18,5
Before and After,Hamster Wheel Of Fortune,4,21,7
Before and After,Hand Cream Of The Crop,5,18,4
Before and After,Hand Cream Pitcher,3,16,4
Before and After,Hand Cream Soda,3,13,4
Before and After,Happy Birthday Suit,3,17,5
Before and After,Happy Days Of Our Lives,5,19,5
Before and After,Happy Days Of Wine And Roses,6,23,5
Before and After,Hard As A Rock-And-Roll,4,18,4
Before and After,Harrison Ford Pickup Truck,4,23,8
Before and After,Harry Truman Capote,3,17,5
Before and After,Haunted House Of Cards,4,19,7
Before and After,Haunted House Salad,3,17,7
Before and After,Haunted House Sitter,3,18,7
Before and After,Having A Great Time Zone,5,20,6
Before and After,Haystack Rock Of Ages,4,18,8
Before and After,He Got Game Of Thrones,5,18,2
Before and After,He Got Games Of Thrones,5,19,2
Before and After,Heart Of Gold Bricks,4,17,5
Before and After,Heaven On Earth Angel,4,18,6
Before and After,Heavy-Metal Rock Garden,3,20,10
Before and After,Helen Of Troy Michigan,4,19,5
Before and After,Helicopter Pad & Pencil,3,19,10
Before and After,Help Wanted Dead Or Alive,5,21,4
Before and After,Helpful Tip Jar,3,13,7
Before and After,Helping Hand Sanitizer,3,20,7
Before and After,Herbie The Love Bug Spray,5,21,6
Before and After,Herd Of Buffalo Wings,4,18,4
Before and After,Hershey's Kiss Of Death,4,19,8
Before and After,Hersheys Kiss Of Death,4,19,8
Before and After,Hidden Talent Manager,3,19,6
Before and After,High Cost Of Living Dangerously,5,27,4
Before and After,High Pitch The Ball,4,16,4
Before and After,High Surf The Web,4,14,4
Before and After,History In The Making Ends Meet,6,26,7
Before and After,Hit Or Miss You Already,5,19,3
Before and After,Hit The Deck Of Cards,5,17,3
Before and After,Hit The Nail On The Head Of The Household,9,33,3
Before and After,Hitching Post Office,3,18,8
Before and After,Hitting The Mother Lode,4,20,7
Before and After,Holding Hands Down,3,16,7
Before and After,Hole In One Of A Kind,6,16,4
Before and After,Holiday Cheer For The Underdog,5,26,7
Before and After,Hollywood Bowl Of Cereal,4,21,9
Before and After,Hollywood Squares Of Chocolate,4,27,9
Before and After,Home Alone Together,3,17,4
Before and After,Home On The Range Rover,5,19,4
Before and After,Home Sweet Home On The Range,6,23,4
Before and After,Home Sweet Home Planet,4,19,4
Before and After,Homecoming Queen Elizabeth,3,24,10
Before and After,Honda Civic Center,3,16,5
Before and After,Honda Civic Duty,3,14,5
Before and After,Honest Opinion Poll,3,17,6
Before and After,Honeymoon Cottage Cheese,3,22,9
Before and After,Honkey Tonk Bar Of Soap,5,19,6
Before and After,Honky-Tonk Bar Of Soap,4,18,9
Before and After,Honor & Tootsie Roll,3,16,5
Before and After,Hookah Bar Of Soap,4,15,6
Before and After,Hoover Dam Square,3,15,6
Before and After,Horse Sense Of Humor,4,17,5
Before and After,Hospital Bed In A Bag,5,17,8
Before and After,Host And Hostess,3,14,4
Before and After,Hot Dog Stand By Your Man,6,20,3
Before and After,Hot Fudge Sauce,3,13,3
Before and After,Hot Tub Of Lard,4,12,3
Before and After,House Key To Happiness,4,19,5
Before and After,How I Met Your Mother Goose,6,22,3
Before and After,Howard Stern Talking-To,3,20,6
Before and After,Hudson Bay At The Moon,5,18,6
Before and After,Huey Lewis & The News Bulletin,5,24,4
Before and After,I Don't Want To Gain A Pound Cake,8,25,1
Before and After,I Got Safe And Sound The Alarm,7,24,1
Before and After,I Hope You Dance Instructor,5,23,1
Before and After,I Love My Cat Cora,5,14,1
Before and After,I Love You With All Of My Heart Of Darkness,10,34,1
Before and After,I Need My Space Shuttle,5,19,1
Before and After,I Speak English Muffin,4,19,1
Before and After,I Speak French Onion Soup,5,21,1
Before and After,I Speak French Toast,4,17,1
Before and After,I Will Always Be True Romance,6,24,1
Before and After,I'll Try Anything Once Upon A Time,7,27,3
Before and After,I'M Losing My Mind Over Matter,6,24,2
Before and After,I've Got Your Back To The Drawing Board,8,31,3
Before and After,I've Made It Perfectly Clear Skies,6,28,3
Before and After,Ice Chest Of Drawers,4,17,3
Before and After,Ice Cream Social Security,4,22,3
Before and After,Ice Cube Steak,3,12,3
Before and After,Ice Pick Your Battles,4,18,3
Before and After,Iggy Pop Culture,3,14,4
Before and After,I'M Done Deal,3,10,2
Before and After,Impound Yard Sale,3,15,7
Before and After,In A Flash Gordon,4,14,2
Before and After,In A State Of Emergency,5,19,2
Before and After,In My Humble Opinion Poll,5,21,2
Before and After,In The First Place Of Origin,6,23,2
Before and After,In The Public Eye Of The Storm,7,24,2
Before and After,In The Red Square,4,14,2
Before and After,In Total Shock Absorbers,4,21,2
Before and After,Inaugural Ball Of Yarn,4,19,9
Before and After,Inclined Plane Tickets,3,20,8
Before and After,Independence Hall & Oates,3,21,12
Before and After,Individual Liberty Bell,3,21,10
Before and After,Individual Results May Vary,4,24,10
Before and After,Infinity Pool Shark,3,17,8
Before and After,Inner Beauty Pageant,3,18,5
Before and After,Inner Court Of Law,4,15,5
Before and After,Insect Bite The Bullet,4,19,6
Before and After,Insect Spray Tan,3,14,6
Before and After,Instant Cash Flow,3,15,7
Before and After,Instruction Manual Transmission,3,29,11
Before and After,Intelligence Community Effort,3,27,12
Before and After,Intelligent Community Effort,3,26,11
Before and After,Interest Rate Of Return,4,20,8
Before and After,Ironing Board Of Health,4,20,7
Before and After,Is There A Doctor In The House Of Pancakes,9,34,2
Before and After,Island Hopping Mad,3,16,6
Before and After,Island-Hopping Mad,2,16,13
Before and After,It Caught My Eye Of A Needle,7,22,2
Before and After,It Makes My Head Spin Or Solve,7,24,2
Before and After,It Slipped My Mind Your Own Business,7,30,2
Before and After,It Takes One To Know One Of A Kind,9,26,2
Before and After,It Takes Two To Tango Dancers,6,24,2
Before and After,It's A Wild World Cup,5,16,3
Before and After,It's A Wonderful Life Savings,5,24,3
Before and After,It's All Good Friday,4,16,3
Before and After,It's Good To Be The King County,7,24,3
Before and After,It's Good To Be The King Kong,7,22,3
Before and After,It's Not Easy Being Green Book,6,24,3
Before and After,It's As Good As New York City,7,22,3
Before and After,It's Hip To Be Square Root,6,20,3
Before and After,It's Not Easy Being Green With Envy,7,28,3
Before and After,Itunes Library Card,3,17,6
Before and After,Jack Black Market,3,15,4
Before and After,Jack Black Olives,3,15,4
Before and After,Jack Black-Tie Affair,3,18,4
Before and After,Jack London England,3,17,4
Before and After,James Joyce Dewitt,3,16,5
Before and After,James Madison Wisconsin,3,21,5
Before and After,Japanese Tea Ceremony,3,19,8
Before and After,Jason Alexander Hamilton,3,22,5
Before and After,Jefferson Airplane Ticket,3,23,9
Before and After,Jello Mold & Mildew,3,15,5
Before and After,Jelly Roll With The Punches,5,23,5
Before and After,Jennifer & Vicki Lawrence,3,21,8
Before and After,Jennifer Hudson River,3,19,8
Before and After,Jennifer Lawrence Of Arabia,4,24,8
Before and After,Jeremy Irons In The Fire,5,20,6
Before and After,Jerry Lee Lewis And Clark,5,21,5
Before and After,Jimmie Walker Texas Ranger,4,23,6
Before and After,Jingle Bell Rock Paper Scissors,5,27,6
Before and After,Job Security Camera,3,17,3
Before and After,Jodie Foster Parents,3,18,5
Before and After,Joe Cocker Spaniel,3,16,3
Before and After,Joey Lawrence Of Arabia,4,20,4
Before and After,Jogging Path To Success,4,20,7
Before and After,John Candy Cane,3,13,4
Before and After,John Denver Colorado,3,18,4
Before and After,Johnny Carson Daly,3,16,6
Before and After,Johnny Cash Advance,3,17,6
Before and After,Johnny Cash Or Check,4,17,6
Before and After,Johnny Cash Or Check?,4,17,6
Before and After,Johnny Cash Or Credit,4,18,6
Before and After,Johnny Cash Or Credit?,4,18,6
Before and After,Jolly Old Saint Nick Nolte,5,22,5
Before and After,Jon Snow Day,3,10,3
Before and After,Jon Snow Peas,3,11,3
Before and After,Jude Law & Order,3,12,4
Before and After,Jude Law Clerk,3,12,4
Before and After,Jude Law School,3,13,4
Before and After,Julius Caesar Salad,3,17,6
Before and After,Jumbo Jet Lag,3,11,5
Before and After,Jump Right In Like Flynn,5,20,4
Before and After,Jumping Up And Down Payment,5,23,7
Before and After,Jumping-Off Point Of Interest,4,25,10
Before and After,Junk Food For Thought,4,18,4
Before and After,Jurassic Park Avenue,3,18,8
Before and After,Jurassic Park Bench,3,17,8
Before and After,Jurassic Park The Car,4,18,8
Before and After,Just Before Dawn Of The Dead,6,23,4
Before and After,Just In The Nick Of Time Capsule,7,26,4
Before and After,Just In The Nick Of Time Is On My Side,10,29,4
Before and After,Just The Way You Are We There Yet?,8,26,4
Before and After,Justice Of The Peace And Quiet,6,25,7
Before and After,Kangaroo Court Reporter,3,21,8
Before and After,Kanye West Coast,3,14,5
Before and After,Kanye West Hollywood,3,18,5
Before and After,Karaoke Bar Mitzvah,3,17,7
Before and After,Karaoke Bar Of Soap,4,16,7
